station,rank
31258,0.04724538721407945
31247,0.03873765770784473
31289,0.03708222924668423
31248,0.03668915809772265
31249,0.03619465307833788
31288,0.03548920212864576
31623,0.032762505711627185
31290,0.029084544225678365
31321,0.024959515398766216
31108,0.02277415943291753
31129,0.02165179994311159
31603,0.021120295910144485
31201,0.021116195429846937
31271,0.020542940012383906
31646,0.020379110134918187
31200,0.02019121136490083
31229,0.02012471598622845
31615,0.019304593876422735
31243,0.019059722480972936
31230,0.018981259664269126
31609,0.0188778335506247
31277,0.01881554747492197
31600,0.017795692001390893
31228,0.01779076962084788
31272,0.01772350996869628
31628,0.01754427947219389
31232,0.017338311972915226
31266,0.01706314616761457
31215,0.016533911921215744
31219,0.016477343016869688
31246,0.016052062701345838
31265,0.015751746382494006
31101,0.015663548026283006
31203,0.015486019441528793
31214,0.015423974509479715
31281,0.015250798521105549
31241,0.015245837198327762
31128,0.015114780416467442
31613,0.014981899450975642
31233,0.014633412975024913
31227,0.013968319686734915
31627,0.013468370036137257
31212,0.012733840949232843
31064,0.012147790088887942
31110,0.012024973561976147
31014,0.012000506261693087
31295,0.011730176668579314
31257,0.011574675012343383
31314,0.011139283106381286
31002,0.008443234250770449
31007,0.004756100903333974
31037,0.002957447638102819
