source,target,weight
31288,31243,25.0
31288,31628,11.0
31288,31257,1.0
31288,31128,3.0
31288,31214,6.0
31288,31277,17.0
31288,31232,16.0
31288,31289,90.0
31288,31290,24.0
31288,31615,10.0
31288,31249,1.0
31288,31212,2.0
31288,31272,8.0
31288,31101,2.0
31288,31247,92.0
31288,31603,12.0
31288,31646,5.0
31288,31265,24.0
31288,31600,4.0
31288,31108,34.0
31288,31609,7.0
31288,31230,11.0
31288,31219,15.0
31288,31258,76.0
31288,31248,94.0
31288,31203,3.0
31288,31110,1.0
31288,31271,26.0
31288,31215,4.0
31288,31295,1.0
31288,31613,20.0
31288,31246,2.0
31288,31229,3.0
31288,31227,1.0
31288,31201,13.0
31288,31321,40.0
31288,31233,5.0
31288,31627,10.0
31288,31314,2.0
31288,31129,36.0
31288,31200,4.0
31288,31623,49.0
31288,31228,8.0
31248,31289,69.0
31248,31228,10.0
31248,31064,4.0
31248,31609,6.0
31248,31246,3.0
31248,31014,2.0
31248,31600,3.0
31248,31646,27.0
31248,31314,8.0
31248,31321,8.0
31248,31623,16.0
31248,31290,65.0
31248,31249,38.0
31248,31627,4.0
31248,31233,1.0
31248,31214,5.0
31248,31628,9.0
31248,31241,5.0
31248,31288,54.0
31248,31603,19.0
31248,31257,3.0
31248,31129,19.0
31248,31266,4.0
31248,31265,3.0
31248,31243,17.0
31248,31230,14.0
31248,31108,12.0
31248,31615,2.0
31248,31212,4.0
31248,31271,31.0
31248,31201,6.0
31248,31203,5.0
31248,31219,7.0
31248,31258,147.0
31248,31277,28.0
31248,31229,1.0
31248,31247,88.0
31248,31232,11.0
31248,31101,1.0
31248,31128,1.0
31248,31613,7.0
31248,31215,10.0
31248,31272,20.0
31258,31241,6.0
31258,31603,2.0
31258,31214,1.0
31258,31215,22.0
31258,31609,4.0
31258,31230,4.0
31258,31129,29.0
31258,31227,6.0
31258,31628,1.0
31258,31281,1.0
31258,31277,40.0
31258,31257,19.0
31258,31232,13.0
31258,31108,7.0
31258,31101,4.0
31258,31128,8.0
31258,31266,1.0
31258,31200,3.0
31258,31265,8.0
31258,31271,14.0
31258,31290,89.0
31258,31623,15.0
31258,31289,26.0
31258,31233,5.0
31258,31212,4.0
31258,31203,4.0
31258,31272,37.0
31258,31646,12.0
31258,31201,1.0
31258,31064,12.0
31258,31613,5.0
31258,31295,5.0
31258,31228,15.0
31258,31627,4.0
31258,31247,185.0
31258,31288,57.0
31258,31321,48.0
31258,31219,9.0
31258,31243,16.0
31258,31249,126.0
31258,31248,114.0
31258,31246,5.0
31258,31314,18.0
31258,31615,3.0
31258,31110,2.0
31228,31272,8.0
31228,31227,25.0
31228,31290,3.0
31228,31246,9.0
31228,31623,16.0
31228,31232,5.0
31228,31128,4.0
31228,31230,38.0
31228,31613,4.0
31228,31243,4.0
31228,31288,13.0
31228,31233,15.0
31228,31215,3.0
31228,31281,26.0
31228,31295,5.0
31228,31200,5.0
31228,31229,13.0
31228,31129,9.0
31228,31603,36.0
31228,31203,20.0
31228,31609,7.0
31228,31101,20.0
31228,31265,6.0
31228,31248,10.0
31228,31266,20.0
31228,31321,11.0
31228,31014,2.0
31228,31628,5.0
31228,31627,9.0
31228,31219,12.0
31228,31108,34.0
31228,31646,2.0
31228,31258,8.0
31228,31615,12.0
31228,31271,12.0
31228,31201,22.0
31228,31212,1.0
31228,31600,29.0
31228,31247,14.0
31228,31241,16.0
31228,31249,2.0
31228,31214,7.0
31228,31064,1.0
31228,31277,16.0
31228,31257,10.0
31230,31603,11.0
31230,31232,9.0
31230,31243,6.0
31230,31265,44.0
31230,31201,22.0
31230,31247,3.0
31230,31295,3.0
31230,31227,2.0
31230,31228,35.0
31230,31623,10.0
31230,31271,8.0
31230,31214,12.0
31230,31290,12.0
31230,31258,2.0
31230,31108,12.0
31230,31613,4.0
31230,31289,2.0
31230,31266,42.0
31230,31646,3.0
31230,31277,14.0
31230,31064,1.0
31230,31129,2.0
31230,31628,11.0
31230,31257,12.0
31230,31609,7.0
31230,31200,1.0
31230,31615,8.0
31230,31203,27.0
31230,31101,28.0
31230,31110,12.0
31230,31281,25.0
31230,31014,1.0
31230,31288,9.0
31230,31600,65.0
31230,31627,2.0
31230,31246,4.0
31230,31248,6.0
31230,31128,6.0
31230,31212,2.0
31230,31272,4.0
31230,31241,10.0
31230,31229,7.0
31230,31219,4.0
31230,31233,8.0
31230,31321,5.0
