source,target,weight
31288,31243,18.0
31288,31628,23.0
31288,31281,6.0
31288,31257,3.0
31288,31128,7.0
31288,31277,26.0
31288,31232,56.0
31288,31289,189.0
31288,31290,85.0
31288,31615,9.0
31288,31249,32.0
31288,31212,3.0
31288,31272,29.0
31288,31101,4.0
31288,31247,155.0
31288,31603,20.0
31288,31646,12.0
31288,31265,17.0
31288,31266,3.0
31288,31600,6.0
31288,31108,32.0
31288,31609,17.0
31288,31230,20.0
31288,31219,30.0
31288,31258,112.0
31288,31248,134.0
31288,31203,10.0
31288,31110,5.0
31288,31271,46.0
31288,31215,15.0
31288,31295,2.0
31288,31613,22.0
31288,31246,3.0
31288,31241,8.0
31288,31229,2.0
31288,31227,1.0
31288,31201,8.0
31288,31321,86.0
31288,31233,8.0
31288,31627,12.0
31288,31314,7.0
31288,31129,87.0
31288,31200,6.0
31288,31623,75.0
31288,31228,15.0
31248,31289,160.0
31248,31228,16.0
31248,31609,25.0
31248,31064,6.0
31248,31246,2.0
31248,31110,1.0
31248,31014,1.0
31248,31600,8.0
31248,31646,53.0
31248,31314,8.0
31248,31321,40.0
31248,31623,45.0
31248,31290,98.0
31248,31249,42.0
31248,31627,8.0
31248,31007,1.0
31248,31233,11.0
31248,31214,5.0
31248,31628,5.0
31248,31241,2.0
31248,31288,108.0
31248,31603,14.0
31248,31257,5.0
31248,31281,3.0
31248,31129,34.0
31248,31266,2.0
31248,31265,8.0
31248,31243,26.0
31248,31200,10.0
31248,31230,12.0
31248,31108,10.0
31248,31615,6.0
31248,31212,2.0
31248,31271,66.0
31248,31201,11.0
31248,31203,8.0
31248,31219,26.0
31248,31258,299.0
31248,31277,9.0
31248,31229,4.0
31248,31247,130.0
31248,31232,17.0
31248,31101,4.0
31248,31128,4.0
31248,31295,3.0
31248,31613,5.0
31248,31215,10.0
31248,31272,56.0
31258,31241,3.0
31258,31603,2.0
31258,31215,31.0
31258,31609,34.0
31258,31230,14.0
31258,31129,99.0
31258,31227,5.0
31258,31628,6.0
31258,31281,5.0
31258,31277,66.0
31258,31257,30.0
31258,31232,26.0
31258,31007,1.0
31258,31108,14.0
31258,31128,4.0
31258,31266,4.0
31258,31200,5.0
31258,31265,8.0
31258,31271,77.0
31258,31290,117.0
31258,31002,1.0
31258,31600,3.0
31258,31623,27.0
31258,31289,70.0
31258,31229,2.0
31258,31233,8.0
31258,31212,11.0
31258,31203,5.0
31258,31272,47.0
31258,31646,35.0
31258,31201,3.0
31258,31064,16.0
31258,31613,3.0
31258,31295,7.0
31258,31228,8.0
31258,31247,236.0
31258,31288,139.0
31258,31321,74.0
31258,31219,50.0
31258,31243,21.0
31258,31249,305.0
31258,31248,219.0
31258,31014,4.0
31258,31246,7.0
31258,31314,24.0
31258,31615,1.0
31228,31272,5.0
31228,31227,27.0
31228,31314,1.0
31228,31290,13.0
31228,31246,7.0
31228,31289,7.0
31228,31623,17.0
31228,31232,14.0
31228,31128,10.0
31228,31230,36.0
31228,31613,8.0
31228,31243,6.0
31228,31288,15.0
31228,31233,21.0
31228,31215,2.0
31228,31281,17.0
31228,31295,2.0
31228,31200,11.0
31228,31229,24.0
31228,31110,6.0
31228,31129,11.0
31228,31603,41.0
31228,31203,28.0
31228,31609,9.0
31228,31101,18.0
31228,31265,18.0
31228,31248,18.0
31228,31266,32.0
31228,31321,21.0
31228,31014,3.0
31228,31628,7.0
31228,31627,12.0
31228,31219,10.0
31228,31108,21.0
31228,31646,6.0
31228,31258,2.0
31228,31615,14.0
31228,31271,10.0
31228,31201,19.0
31228,31212,13.0
31228,31600,46.0
31228,31247,9.0
31228,31241,30.0
31228,31249,1.0
31228,31214,10.0
31228,31064,5.0
31228,31277,12.0
31228,31257,16.0
31230,31603,19.0
31230,31232,30.0
31230,31243,5.0
31230,31265,57.0
31230,31201,27.0
31230,31247,14.0
31230,31295,10.0
31230,31227,7.0
31230,31228,51.0
31230,31623,25.0
31230,31271,14.0
31230,31214,18.0
31230,31290,19.0
31230,31258,18.0
31230,31215,1.0
31230,31108,43.0
31230,31613,7.0
31230,31289,14.0
31230,31266,53.0
31230,31646,10.0
31230,31064,3.0
31230,31277,12.0
31230,31129,12.0
31230,31628,7.0
31230,31257,9.0
31230,31609,7.0
31230,31200,2.0
31230,31615,7.0
31230,31203,39.0
31230,31101,38.0
31230,31007,1.0
31230,31110,6.0
31230,31281,35.0
31230,31014,1.0
31230,31288,12.0
31230,31600,58.0
31230,31627,5.0
31230,31246,14.0
31230,31248,9.0
31230,31128,15.0
31230,31212,7.0
31230,31272,6.0
31230,31314,2.0
31230,31241,32.0
31230,31229,15.0
31230,31249,3.0
31230,31219,7.0
31230,31233,3.0
31230,31321,16.0
31200,31212,43.0
31200,31227,15.0
31200,31230,4.0
31200,31265,23.0
31200,31271,6.0
31200,31108,4.0
31200,31603,12.0
31200,31101,81.0
31200,31241,40.0
31200,31064,3.0
31200,31266,34.0
31200,31295,37.0
31200,31203,29.0
31200,31110,38.0
31200,31628,1.0
31200,31249,4.0
31200,31229,179.0
31200,31233,10.0
31200,31246,95.0
31200,31257,36.0
31200,31646,3.0
31200,31600,19.0
31200,31314,23.0
31200,31129,4.0
31200,31289,10.0
31200,31248,9.0
31200,31014,12.0
31200,31258,21.0
31200,31623,5.0
31200,31228,11.0
31200,31232,5.0
31200,31215,50.0
31200,31201,112.0
31200,31247,8.0
31200,31288,10.0
31200,31243,6.0
31200,31277,5.0
31200,31290,2.0
31200,31219,9.0
31200,31609,1.0
31200,31321,24.0
31200,31281,47.0
31200,31128,32.0
31200,31214,55.0
31200,31615,2.0
31200,31627,9.0
31232,31613,7.0
31232,31272,12.0
31232,31609,20.0
31232,31247,25.0
31232,31230,41.0
31232,31241,19.0
31232,31110,8.0
31232,31212,4.0
31232,31257,21.0
31232,31101,12.0
31232,31108,48.0
31232,31266,28.0
31232,31248,32.0
31232,31228,7.0
31232,31200,10.0
31232,31243,16.0
31232,31295,6.0
31232,31281,31.0
31232,31603,27.0
31232,31600,24.0
31232,31014,8.0
31232,31289,12.0
31232,31321,24.0
31232,31277,18.0
31232,31233,13.0
31232,31258,19.0
31232,31288,16.0
31232,31227,12.0
31232,31128,7.0
31232,31215,2.0
31232,31623,16.0
31232,31219,8.0
31232,31615,30.0
31232,31627,17.0
31232,31129,9.0
31232,31229,12.0
31232,31249,23.0
31232,31203,15.0
31232,31646,10.0
31232,31214,6.0
31232,31201,27.0
31232,31265,23.0
31232,31246,5.0
31232,31628,10.0
31232,31271,19.0
31002,31289,5.0
31002,31249,23.0
31002,31215,1.0
31002,31290,2.0
31002,31110,1.0
31002,31247,4.0
31002,31246,1.0
31002,31014,2.0
31002,31628,4.0
31002,31609,9.0
31002,31295,2.0
31002,31646,10.0
31002,31200,2.0
31002,31228,1.0
31002,31129,4.0
31002,31248,2.0
31002,31007,8.0
31002,31064,23.0
31290,31272,22.0
31290,31249,62.0
31290,31609,23.0
31290,31248,97.0
31290,31628,7.0
31290,31129,48.0
31290,31321,35.0
31290,31314,5.0
31290,31227,4.0
31290,31281,4.0
31290,31230,7.0
31290,31232,8.0
31290,31108,8.0
31290,31277,41.0
31290,31623,12.0
31290,31201,2.0
31290,31265,3.0
31290,31288,109.0
31290,31233,8.0
31290,31002,1.0
31290,31613,6.0
31290,31646,22.0
31290,31257,4.0
31290,31258,210.0
31290,31214,1.0
31290,31064,3.0
31290,31110,2.0
31290,31215,10.0
31290,31228,10.0
31290,31128,4.0
31290,31627,2.0
31290,31603,7.0
31290,31247,91.0
31290,31289,96.0
31290,31229,4.0
31290,31219,18.0
31290,31600,3.0
31290,31615,3.0
31290,31271,21.0
31290,31243,27.0
31110,31266,23.0
31110,31129,5.0
31110,31200,16.0
31110,31295,15.0
31110,31246,30.0
31110,31014,23.0
31110,31290,1.0
31110,31247,6.0
31110,31314,1.0
31110,31628,1.0
31110,31600,17.0
31110,31219,1.0
31110,31212,70.0
31110,31277,6.0
31110,31289,11.0
31110,31230,6.0
31110,31228,5.0
31110,31214,68.0
31110,31227,17.0
31110,31241,11.0
31110,31258,4.0
31110,31215,15.0
31110,31233,27.0
31110,31627,8.0
31110,31249,3.0
31110,31281,8.0
31110,31232,12.0
31110,31615,1.0
31110,31128,17.0
31110,31229,74.0
31110,31321,6.0
31110,31203,20.0
31110,31265,9.0
31110,31257,51.0
31110,31243,3.0
31110,31201,51.0
31110,31623,1.0
31110,31101,48.0
31646,31228,9.0
31646,31243,11.0
31646,31603,5.0
31646,31014,7.0
31646,31241,13.0
31646,31227,4.0
31646,31613,19.0
31646,31232,23.0
31646,31246,5.0
31646,31233,8.0
31646,31290,16.0
31646,31271,5.0
31646,31214,2.0
31646,31249,33.0
31646,31219,11.0
31646,31288,16.0
31646,31321,3.0
31646,31203,5.0
31646,31064,5.0
31646,31200,3.0
31646,31265,11.0
31646,31108,65.0
31646,31129,13.0
31646,31266,4.0
31646,31623,44.0
31646,31248,16.0
31646,31128,2.0
31646,31600,13.0
31646,31201,1.0
31646,31110,2.0
31646,31627,4.0
31646,31628,84.0
31646,31230,14.0
31646,31314,22.0
31646,31215,29.0
31646,31002,3.0
31646,31277,9.0
31646,31229,1.0
31646,31272,9.0
31646,31295,7.0
31646,31258,23.0
31646,31281,1.0
31646,31609,31.0
31646,31615,4.0
31646,31257,5.0
31646,31212,4.0
31646,31247,30.0
31646,31289,16.0
31646,31101,3.0
31108,31243,82.0
31108,31615,10.0
31108,31281,2.0
31108,31272,19.0
31108,31212,1.0
31108,31295,1.0
31108,31248,9.0
31108,31219,6.0
31108,31628,64.0
31108,31101,4.0
31108,31265,4.0
31108,31201,6.0
31108,31232,25.0
31108,31600,2.0
31108,31627,19.0
31108,31257,6.0
31108,31288,48.0
31108,31064,2.0
31108,31646,94.0
31108,31314,3.0
31108,31230,13.0
31108,31228,17.0
31108,31603,21.0
31108,31229,1.0
31108,31290,7.0
31108,31321,3.0
31108,31227,5.0
31108,31289,8.0
31108,31247,24.0
31108,31249,18.0
31108,31215,20.0
31108,31200,6.0
31108,31214,2.0
31108,31203,5.0
31108,31233,2.0
31108,31129,22.0
31108,31246,4.0
31108,31258,9.0
31108,31271,29.0
31108,31613,44.0
31108,31014,3.0
31108,31266,5.0
31108,31241,6.0
31108,31277,29.0
31108,31623,20.0
31108,31609,109.0
31108,31128,5.0
31272,31600,3.0
31272,31203,2.0
31272,31321,19.0
31272,31228,7.0
31272,31646,12.0
31272,31215,6.0
31272,31249,5.0
31272,31219,25.0
31272,31288,22.0
31272,31241,1.0
31272,31609,21.0
31272,31128,1.0
31272,31233,2.0
31272,31623,133.0
31272,31615,15.0
31272,31243,16.0
31272,31246,1.0
31272,31295,3.0
31272,31277,4.0
31272,31290,25.0
31272,31289,41.0
31272,31628,49.0
31272,31129,29.0
31272,31101,2.0
31272,31271,16.0
31272,31247,58.0
31272,31108,25.0
31272,31230,1.0
31272,31613,16.0
31272,31229,7.0
31272,31212,2.0
31272,31281,3.0
31272,31232,15.0
31272,31258,26.0
31272,31248,47.0
31272,31214,1.0
31272,31257,2.0
31272,31603,11.0
31272,31627,16.0
31272,31265,8.0
31014,31215,13.0
31014,31628,4.0
31014,31212,1.0
31014,31101,1.0
31014,31201,2.0
31014,31266,6.0
31014,31128,4.0
31014,31257,2.0
31014,31295,107.0
31014,31290,1.0
31014,31600,2.0
31014,31108,10.0
31014,31228,6.0
31014,31246,22.0
31014,31200,10.0
31014,31314,36.0
31014,31241,14.0
31014,31229,13.0
31014,31110,13.0
31014,31219,1.0
31014,31233,7.0
31014,31248,2.0
31014,31277,3.0
31014,31064,35.0
31014,31289,13.0
31014,31258,11.0
31014,31646,4.0
31014,31265,4.0
31014,31609,6.0
31014,31247,14.0
31014,31613,1.0
31014,31203,3.0
31014,31002,5.0
31014,31281,1.0
31014,31214,7.0
31014,31288,3.0
31014,31249,17.0
31064,31247,19.0
31064,31265,1.0
31064,31014,38.0
31064,31623,1.0
31064,31266,1.0
31064,31615,1.0
31064,31249,120.0
31064,31646,11.0
31064,31321,11.0
31064,31228,2.0
31064,31201,3.0
31064,31281,2.0
31064,31230,4.0
31064,31290,8.0
31064,31002,24.0
31064,31129,3.0
31064,31314,2.0
31064,31243,7.0
31064,31289,23.0
31064,31277,1.0
31064,31295,3.0
31064,31215,3.0
31064,31007,21.0
31064,31258,8.0
31064,31128,1.0
31064,31248,8.0
31128,31110,23.0
31128,31246,92.0
31128,31247,7.0
31128,31229,49.0
31128,31265,16.0
31128,31230,17.0
31128,31002,1.0
31128,31233,16.0
31128,31281,3.0
31128,31214,33.0
31128,31295,52.0
31128,31215,26.0
31128,31609,2.0
31128,31321,10.0
31128,31258,5.0
31128,31288,6.0
31128,31646,4.0
31128,31615,2.0
31128,31257,27.0
31128,31248,7.0
31128,31129,5.0
31128,31603,3.0
31128,31228,16.0
31128,31623,1.0
31128,31201,27.0
31128,31290,2.0
31128,31289,18.0
31128,31249,1.0
31128,31227,19.0
