source,target,weight
31288,31243,12.0
31288,31628,12.0
31288,31281,4.0
31288,31128,3.0
31288,31214,2.0
31288,31277,8.0
31288,31232,24.0
31288,31289,58.0
31288,31290,25.0
31288,31615,3.0
31288,31249,9.0
31288,31212,3.0
31288,31272,10.0
31288,31101,1.0
31288,31247,34.0
31288,31603,12.0
31288,31646,3.0
31288,31265,5.0
31288,31266,6.0
31288,31600,2.0
31288,31108,10.0
31288,31609,8.0
31288,31230,13.0
31288,31219,17.0
31288,31002,1.0
31288,31258,64.0
31288,31248,71.0
31288,31203,2.0
31288,31271,15.0
31288,31215,11.0
31288,31295,1.0
31288,31613,6.0
31288,31241,2.0
31288,31227,13.0
31288,31201,4.0
31288,31321,30.0
31288,31064,1.0
31288,31233,5.0
31288,31627,9.0
31288,31129,54.0
31288,31014,1.0
31288,31200,2.0
31288,31623,35.0
31288,31228,8.0
31248,31289,60.0
31248,31228,7.0
31248,31064,4.0
31248,31609,4.0
31248,31110,2.0
31248,31014,2.0
31248,31646,7.0
31248,31314,5.0
31248,31321,5.0
31248,31623,19.0
31248,31290,33.0
31248,31249,23.0
31248,31627,3.0
31248,31233,4.0
31248,31002,1.0
31248,31628,2.0
31248,31288,67.0
31248,31603,7.0
31248,31257,2.0
31248,31281,5.0
31248,31129,13.0
31248,31266,4.0
31248,31265,4.0
31248,31243,6.0
31248,31200,2.0
31248,31227,2.0
31248,31230,12.0
31248,31108,14.0
31248,31615,1.0
31248,31271,18.0
31248,31203,1.0
31248,31219,5.0
31248,31258,80.0
31248,31277,8.0
31248,31229,1.0
31248,31247,57.0
31248,31232,6.0
31248,31101,1.0
31248,31128,1.0
31248,31613,5.0
31248,31215,4.0
31248,31272,26.0
31258,31241,2.0
31258,31603,1.0
31258,31215,10.0
31258,31609,2.0
31258,31230,6.0
31258,31129,49.0
31258,31628,2.0
31258,31277,42.0
31258,31257,11.0
31258,31232,11.0
31258,31007,3.0
31258,31108,1.0
31258,31200,1.0
31258,31265,2.0
31258,31271,32.0
31258,31290,50.0
31258,31600,2.0
31258,31623,5.0
31258,31289,17.0
31258,31233,9.0
31258,31212,1.0
31258,31203,7.0
31258,31272,11.0
31258,31646,6.0
31258,31064,8.0
31258,31228,10.0
31258,31627,2.0
31258,31247,82.0
31258,31288,75.0
31258,31321,25.0
31258,31243,8.0
31258,31249,118.0
31258,31248,73.0
31258,31246,5.0
31258,31314,4.0
31258,31615,1.0
31258,31110,1.0
31228,31272,2.0
31228,31227,14.0
31228,31314,1.0
31228,31246,2.0
31228,31289,2.0
31228,31623,10.0
31228,31232,8.0
31228,31128,9.0
31228,31230,33.0
31228,31613,3.0
31228,31243,4.0
31228,31288,2.0
31228,31233,5.0
31228,31281,13.0
31228,31200,6.0
31228,31229,3.0
31228,31110,2.0
31228,31129,1.0
