station,rank
31258,0.04047542634738788
31623,0.03784219153983438
31289,0.035316598072809575
31247,0.035221041918114065
31248,0.03073337544017381
31288,0.029189349477375073
31249,0.027965469146896592
31108,0.0259714262708609
31201,0.023750964664469788
31200,0.02328501658274743
31229,0.022763909225262332
31321,0.021960351132681823
31129,0.02157300560619716
31290,0.021229594088313684
31615,0.02071770951181714
31271,0.02062037334657337
31232,0.020473064590371938
31228,0.020187421531893023
31277,0.020144531347805496
31603,0.020072209536300106
31646,0.019810162865919866
31101,0.019168550583193292
31230,0.018999671587457554
31243,0.018523849833998095
31246,0.01832629658951941
31241,0.018273323329846144
31609,0.01803639261341147
31628,0.017953504436819534
31272,0.017761464127259045
31265,0.017699987296674283
31214,0.017628856426940752
31600,0.017483095739482684
31203,0.017351290687326687
31266,0.016952432625956637
31128,0.01663540212244691
31219,0.016148005990645514
31212,0.016031840403114568
31233,0.016018963885071288
31215,0.0159058347314225
31281,0.015379771825817337
31227,0.015175428009276607
31257,0.014464018342840439
31110,0.014402868110325127
31627,0.014056298737624763
31613,0.01403396198065324
31295,0.013873803921897585
31014,0.012203353385394284
31064,0.011184409900954874
31314,0.010323560953453787
31002,0.005413100622540787
31007,0.005287468954829394
