source,target,weight
31288,31243,29.0
31288,31628,3.0
31288,31257,3.0
31288,31128,2.0
31288,31214,4.0
31288,31277,25.0
31288,31232,55.0
31288,31289,131.0
31288,31290,131.0
31288,31615,11.0
31288,31249,41.0
31288,31212,2.0
31288,31272,22.0
31288,31101,2.0
31288,31247,103.0
31288,31603,14.0
31288,31646,9.0
31288,31265,26.0
31288,31266,2.0
31288,31600,7.0
31288,31108,28.0
31288,31609,16.0
31288,31230,22.0
31288,31219,32.0
31288,31002,2.0
31288,31258,127.0
31288,31248,168.0
31288,31203,8.0
31288,31110,5.0
31288,31271,23.0
31288,31215,14.0
31288,31295,5.0
31288,31613,22.0
31288,31246,2.0
31288,31241,5.0
31288,31227,6.0
31288,31201,7.0
31288,31321,85.0
31288,31064,1.0
31288,31233,11.0
31288,31627,19.0
31288,31314,2.0
31288,31129,85.0
31288,31200,8.0
31288,31623,71.0
31288,31228,17.0
31248,31289,99.0
31248,31228,11.0
31248,31064,3.0
31248,31609,25.0
31248,31246,2.0
31248,31014,5.0
31248,31600,6.0
31248,31646,32.0
31248,31314,8.0
31248,31321,47.0
31248,31623,46.0
31248,31290,132.0
31248,31249,120.0
31248,31627,2.0
31248,31007,9.0
31248,31233,12.0
31248,31002,3.0
31248,31214,2.0
31248,31628,4.0
31248,31241,8.0
31248,31288,118.0
31248,31603,16.0
31248,31257,3.0
31248,31281,5.0
31248,31129,29.0
31248,31266,4.0
31248,31265,3.0
31248,31243,46.0
31248,31200,13.0
31248,31227,2.0
31248,31230,23.0
31248,31108,25.0
31248,31615,5.0
31248,31212,3.0
31248,31271,63.0
31248,31201,9.0
31248,31203,13.0
31248,31219,14.0
31248,31258,251.0
31248,31277,18.0
31248,31247,110.0
31248,31232,24.0
31248,31128,6.0
31248,31295,2.0
31248,31613,10.0
31248,31215,8.0
31248,31272,38.0
31258,31241,7.0
31258,31603,4.0
31258,31214,1.0
31258,31215,45.0
31258,31609,20.0
31258,31230,16.0
31258,31129,64.0
31258,31227,5.0
31258,31628,3.0
31258,31277,40.0
31258,31257,24.0
31258,31232,22.0
31258,31108,5.0
31258,31101,1.0
31258,31128,10.0
31258,31266,6.0
31258,31200,4.0
31258,31265,3.0
31258,31271,30.0
31258,31290,139.0
31258,31002,4.0
31258,31600,3.0
31258,31623,16.0
31258,31289,65.0
31258,31229,1.0
31258,31233,17.0
31258,31212,6.0
31258,31203,2.0
31258,31272,32.0
31258,31646,62.0
31258,31201,1.0
31258,31064,21.0
31258,31295,2.0
31258,31613,15.0
31258,31228,8.0
31258,31247,182.0
31258,31288,112.0
31258,31321,107.0
31258,31219,25.0
31258,31243,23.0
31258,31249,349.0
31258,31248,225.0
31258,31014,5.0
31258,31246,9.0
31258,31314,20.0
31258,31615,2.0
31258,31110,1.0
31228,31272,5.0
31228,31227,30.0
31228,31314,1.0
31228,31290,9.0
31228,31246,10.0
31228,31289,8.0
31228,31623,19.0
31228,31232,22.0
31228,31128,11.0
31228,31230,27.0
