source,target,weight
31288,31243,19.0
31288,31628,8.0
31288,31281,2.0
31288,31257,2.0
31288,31128,1.0
31288,31214,4.0
31288,31277,20.0
31288,31232,14.0
31288,31289,69.0
31288,31290,41.0
31288,31615,4.0
31288,31249,4.0
31288,31212,5.0
31288,31272,24.0
31288,31247,51.0
31288,31603,6.0
31288,31646,6.0
31288,31265,17.0
31288,31266,2.0
31288,31600,5.0
31288,31108,21.0
31288,31609,3.0
31288,31230,7.0
31288,31219,18.0
31288,31258,50.0
31288,31248,40.0
31288,31110,3.0
31288,31271,8.0
31288,31215,3.0
31288,31295,1.0
31288,31613,7.0
31288,31246,6.0
31288,31241,5.0
31288,31227,2.0
31288,31201,1.0
31288,31321,52.0
31288,31233,2.0
31288,31627,2.0
31288,31129,56.0
31288,31200,2.0
31288,31623,30.0
31288,31228,8.0
31248,31289,57.0
31248,31228,6.0
31248,31064,3.0
31248,31609,2.0
31248,31246,1.0
31248,31600,4.0
31248,31646,9.0
31248,31314,7.0
31248,31321,14.0
31248,31623,18.0
31248,31290,38.0
31248,31249,19.0
31248,31627,1.0
31248,31233,3.0
31248,31002,2.0
31248,31628,1.0
31248,31288,71.0
31248,31603,10.0
31248,31281,1.0
31248,31129,11.0
31248,31266,1.0
31248,31265,2.0
31248,31243,7.0
31248,31200,1.0
31248,31227,2.0
31248,31230,11.0
31248,31108,3.0
31248,31615,3.0
31248,31212,2.0
31248,31271,23.0
31248,31201,1.0
31248,31219,3.0
31248,31258,97.0
31248,31247,42.0
31248,31232,15.0
31248,31295,1.0
31248,31613,5.0
31248,31215,7.0
31248,31272,24.0
31258,31241,3.0
31258,31603,2.0
31258,31214,1.0
31258,31215,16.0
31258,31609,3.0
31258,31230,8.0
31258,31129,52.0
31258,31628,2.0
31258,31227,2.0
31258,31281,1.0
31258,31277,26.0
31258,31257,14.0
31258,31232,7.0
31258,31108,7.0
31258,31101,2.0
31258,31128,10.0
31258,31266,4.0
31258,31200,1.0
31258,31265,4.0
31258,31271,40.0
31258,31290,75.0
31258,31600,2.0
31258,31623,2.0
31258,31289,20.0
31258,31233,5.0
31258,31203,1.0
31258,31272,22.0
31258,31646,17.0
31258,31201,2.0
31258,31064,6.0
31258,31295,2.0
31258,31228,3.0
31258,31247,83.0
31258,31288,56.0
31258,31321,28.0
31258,31219,10.0
31258,31243,16.0
31258,31249,71.0
31258,31248,110.0
31258,31014,11.0
31258,31246,9.0
31258,31314,4.0
31228,31272,2.0
31228,31227,9.0
31228,31290,1.0
31228,31246,6.0
31228,31289,8.0
31228,31623,17.0
31228,31232,4.0
31228,31128,3.0
31228,31230,27.0
31228,31613,5.0
31228,31243,5.0
31228,31288,6.0
31228,31233,16.0
31228,31215,1.0
31228,31281,21.0
31228,31295,2.0
31228,31200,5.0
31228,31229,2.0
31228,31110,2.0
31228,31129,3.0
31228,31603,17.0
31228,31203,14.0
31228,31609,3.0
31228,31101,7.0
31228,31265,10.0
31228,31248,10.0
31228,31266,23.0
31228,31321,2.0
31228,31628,3.0
31228,31627,4.0
31228,31108,14.0
31228,31646,6.0
31228,31615,8.0
31228,31271,2.0
31228,31201,16.0
31228,31212,6.0
31228,31600,22.0
31228,31247,3.0
31228,31241,32.0
31228,31249,2.0
31228,31214,9.0
31228,31064,1.0
31228,31277,11.0
31228,31257,8.0
31230,31603,4.0
31230,31232,20.0
31230,31243,1.0
31230,31265,36.0
31230,31201,10.0
31230,31247,9.0
31230,31295,1.0
31230,31227,6.0
31230,31228,32.0
31230,31623,14.0
31230,31271,1.0
31230,31214,18.0
31230,31290,12.0
31230,31258,2.0
31230,31215,2.0
31230,31108,13.0
31230,31613,1.0
31230,31266,31.0
31230,31646,6.0
31230,31277,9.0
31230,31129,4.0
31230,31628,7.0
