source,target,weight
31288,31243,30.0
31288,31628,12.0
31288,31281,2.0
31288,31257,6.0
31288,31128,5.0
31288,31214,3.0
31288,31277,56.0
31288,31232,59.0
31288,31289,179.0
31288,31290,188.0
31288,31615,28.0
31288,31249,57.0
31288,31212,13.0
31288,31007,2.0
31288,31272,46.0
31288,31101,4.0
31288,31247,211.0
31288,31603,33.0
31288,31646,18.0
31288,31265,21.0
31288,31266,6.0
31288,31600,12.0
31288,31108,30.0
31288,31609,35.0
31288,31230,21.0
31288,31219,28.0
31288,31002,1.0
31288,31258,191.0
31288,31248,261.0
31288,31203,12.0
31288,31271,84.0
31288,31215,31.0
31288,31295,3.0
31288,31613,28.0
31288,31246,6.0
31288,31241,5.0
31288,31229,1.0
31288,31227,9.0
31288,31201,11.0
31288,31321,133.0
31288,31064,4.0
31288,31233,13.0
31288,31627,17.0
31288,31314,6.0
31288,31129,102.0
31288,31014,1.0
31288,31200,9.0
31288,31623,66.0
31288,31228,25.0
31248,31289,182.0
31248,31228,17.0
31248,31609,20.0
31248,31064,10.0
31248,31246,3.0
31248,31110,5.0
31248,31014,2.0
31248,31600,5.0
31248,31646,47.0
31248,31314,12.0
31248,31321,64.0
31248,31623,41.0
31248,31037,1.0
31248,31290,246.0
31248,31249,176.0
31248,31627,8.0
31248,31007,5.0
31248,31233,4.0
31248,31002,8.0
31248,31214,4.0
31248,31628,10.0
31248,31241,9.0
31248,31288,187.0
31248,31603,30.0
31248,31257,6.0
31248,31281,2.0
31248,31129,68.0
31248,31266,1.0
31248,31265,12.0
31248,31243,34.0
31248,31200,6.0
31248,31227,2.0
31248,31230,28.0
31248,31108,27.0
31248,31615,6.0
31248,31212,15.0
31248,31271,79.0
31248,31201,8.0
31248,31203,7.0
31248,31219,19.0
31248,31258,319.0
31248,31277,24.0
31248,31229,5.0
31248,31247,180.0
31248,31232,49.0
31248,31101,1.0
31248,31128,5.0
31248,31295,8.0
31248,31613,25.0
31248,31215,22.0
31248,31272,86.0
31258,31241,13.0
31258,31603,11.0
31258,31215,63.0
31258,31609,34.0
31258,31230,40.0
31258,31129,120.0
31258,31227,1.0
31258,31628,3.0
31258,31281,2.0
31258,31277,108.0
31258,31257,40.0
31258,31232,30.0
31258,31007,2.0
31258,31108,8.0
31258,31101,3.0
31258,31128,13.0
31258,31266,4.0
31258,31200,9.0
31258,31265,3.0
31258,31271,49.0
31258,31290,184.0
31258,31002,3.0
31258,31600,7.0
31258,31623,8.0
31258,31289,117.0
31258,31229,5.0
31258,31233,10.0
31258,31212,7.0
31258,31203,4.0
31258,31272,36.0
31258,31646,55.0
31258,31064,29.0
31258,31613,7.0
31258,31295,10.0
31258,31228,13.0
31258,31247,271.0
31258,31288,188.0
31258,31321,110.0
31258,31219,51.0
31258,31243,24.0
31258,31249,466.0
31258,31248,207.0
31258,31014,8.0
31258,31246,20.0
31258,31314,26.0
31258,31615,8.0
31258,31110,5.0
31228,31272,10.0
31228,31227,43.0
31228,31314,1.0
31228,31290,25.0
31228,31246,13.0
31228,31289,17.0
31228,31623,25.0
31228,31232,26.0
31228,31128,21.0
31228,31230,34.0
31228,31613,7.0
31228,31243,10.0
31228,31288,24.0
31228,31233,41.0
31228,31215,14.0
31228,31281,33.0
31228,31295,7.0
31228,31200,14.0
31228,31229,9.0
31228,31110,10.0
31228,31129,9.0
31228,31603,38.0
31228,31203,25.0
31228,31609,8.0
31228,31101,16.0
31228,31265,13.0
31228,31248,34.0
31228,31266,40.0
31228,31321,22.0
31228,31628,4.0
31228,31627,8.0
31228,31219,10.0
31228,31108,12.0
31228,31002,1.0
31228,31646,10.0
31228,31258,7.0
31228,31615,14.0
31228,31271,13.0
31228,31201,7.0
31228,31212,17.0
31228,31600,36.0
31228,31247,27.0
31228,31241,13.0
31228,31249,12.0
31228,31214,8.0
31228,31064,2.0
31228,31277,30.0
31228,31257,1.0
31230,31603,28.0
31230,31232,39.0
31230,31243,16.0
31230,31265,59.0
31230,31201,14.0
31230,31247,20.0
31230,31295,5.0
31230,31227,13.0
31230,31228,35.0
31230,31623,26.0
31230,31271,5.0
31230,31214,36.0
31230,31290,29.0
31230,31258,14.0
31230,31215,2.0
31230,31108,19.0
31230,31613,5.0
31230,31289,27.0
31230,31266,56.0
31230,31646,15.0
31230,31277,12.0
31230,31129,4.0
31230,31628,7.0
31230,31257,6.0
31230,31609,7.0
31230,31200,12.0
31230,31615,11.0
31230,31203,23.0
31230,31101,19.0
31230,31110,10.0
31230,31281,24.0
31230,31014,3.0
31230,31288,19.0
31230,31600,39.0
31230,31627,2.0
31230,31246,22.0
31230,31248,22.0
31230,31128,11.0
31230,31212,10.0
31230,31272,15.0
31230,31314,2.0
31230,31241,21.0
31230,31229,8.0
31230,31249,15.0
31230,31219,28.0
31230,31233,8.0
31230,31321,20.0
31200,31212,17.0
31200,31227,6.0
31200,31230,8.0
31200,31265,23.0
31200,31271,5.0
31200,31272,3.0
31200,31108,3.0
31200,31603,15.0
31200,31101,83.0
31200,31241,39.0
31200,31266,41.0
31200,31295,28.0
31200,31203,34.0
31200,31110,36.0
