station,rank
31258,0.04213712950024177
31249,0.04167266811037563
31247,0.04125488465676999
31289,0.037545145104393336
31248,0.03609458250365643
31288,0.03592919362755764
31290,0.03539109737247277
31623,0.03322748628937948
31321,0.026575676879428634
31200,0.021990929903192267
31129,0.02178430645472974
31277,0.021555733147936112
31646,0.020571557791086707
31108,0.020338182988020818
31232,0.020214763733798786
31271,0.020016683178060712
31230,0.019821346743847258
31201,0.01940819859981219
31229,0.018812191317051596
31603,0.018806299680218762
31246,0.018788814634601497
31228,0.018168149969539027
31615,0.01782387803499546
31219,0.017132639384633688
31243,0.01696017604037136
31609,0.016773362681663403
31215,0.016646615124184277
31233,0.01642670544993746
31272,0.016371007405552255
31101,0.01622253282452218
31600,0.016079726133004513
31265,0.015826736258132926
31128,0.015618084823060513
31214,0.015196375702489481
31266,0.015113746268380784
31241,0.014888599364096748
31628,0.014804980711197572
31203,0.014785873052186132
31227,0.014731227509459027
31613,0.01377810138073091
31281,0.013327860901575495
31212,0.013262679037989038
31110,0.012753367331941948
31627,0.012629802885485687
31014,0.01142420188533241
31257,0.01141315574648959
31064,0.011210837345651273
31295,0.010768563751743898
31314,0.009845711881493538
31002,0.006870394676728611
31007,0.005273337384769207
31037,0.003104508156784084
32067,0.0028301886792452833
