station,rank
31623,0.04316681485462523
31258,0.03145628679522002
31288,0.03017897345709554
31247,0.029909030811892418
31289,0.029717328065709023
31201,0.02949310414205921
31229,0.027741993316261808
31108,0.027735804771113447
31200,0.026872773449223845
31248,0.025985045450418843
31615,0.024497295652491806
31228,0.023626222891265713
31214,0.023221304603807492
31277,0.021869545105181593
31230,0.021728810842887147
31243,0.021548441391504
31129,0.02087743140116302
31232,0.020782174895336507
31249,0.020187835557925946
31101,0.02016835829358583
31203,0.020135454655121104
31272,0.01989592277042477
31321,0.019654377468236593
31628,0.01956972784593517
31246,0.019457785120496073
31281,0.019323044816205413
31600,0.01931051279076382
31266,0.019047343653039266
31290,0.018834009771451825
31241,0.018181778825870246
31212,0.017619153890801813
31128,0.017584862057869206
31265,0.01747070771199004
31271,0.0174138104478457
31233,0.017368247203196074
31603,0.017130615454912262
31646,0.016525773449876935
31215,0.015135284420138489
31110,0.015122177410690385
31295,0.014672970486749527
31227,0.014294509767233711
31609,0.01387793081233926
31257,0.013787324652134444
31219,0.013224131374842622
31613,0.012833119330479703
31627,0.011463387926797682
31014,0.010830241053951892
31314,0.008705855550444385
31064,0.007602055304317139
31002,0.00569824373647704
31007,0.004580449105983614
31037,0.002884615384615385
