source,target,weight
31288,31243,51.0
31288,31628,11.0
31288,31281,8.0
31288,31257,2.0
31288,31128,15.0
31288,31214,3.0
31288,31277,47.0
31288,31232,56.0
31288,31289,184.0
31288,31290,161.0
31288,31615,7.0
31288,31249,46.0
31288,31212,7.0
31288,31272,22.0
31288,31101,3.0
31288,31247,198.0
31288,31603,42.0
31288,31646,21.0
31288,31265,32.0
31288,31266,12.0
31288,31600,11.0
31288,31108,52.0
31288,31609,36.0
31288,31230,27.0
31288,31219,36.0
31288,31002,3.0
31288,31258,178.0
31288,31248,193.0
31288,31203,13.0
31288,31110,4.0
31288,31271,60.0
31288,31215,38.0
31288,31295,1.0
31288,31613,27.0
31288,31246,10.0
31288,31241,13.0
31288,31229,6.0
31288,31227,9.0
31288,31201,11.0
31288,31321,103.0
31288,31233,14.0
31288,31627,13.0
31288,31314,3.0
31288,31129,130.0
31288,31200,18.0
31288,31623,63.0
31288,31228,25.0
31248,31289,195.0
31248,31228,37.0
31248,31064,6.0
31248,31609,23.0
31248,31246,4.0
31248,31110,3.0
31248,31014,5.0
31248,31600,4.0
31248,31646,53.0
31248,31314,8.0
31248,31321,77.0
31248,31623,47.0
31248,31037,1.0
31248,31290,164.0
31248,31249,106.0
31248,31627,5.0
31248,31007,2.0
31248,31233,28.0
31248,31002,4.0
31248,31214,11.0
31248,31628,8.0
31248,31241,14.0
31248,31288,110.0
31248,31603,9.0
31248,31257,10.0
31248,31281,6.0
31248,31129,66.0
31248,31266,3.0
31248,31265,8.0
31248,31243,48.0
31248,31200,6.0
31248,31227,5.0
31248,31230,19.0
31248,31108,18.0
31248,31615,9.0
31248,31212,4.0
31248,31271,68.0
31248,31201,8.0
31248,31203,11.0
31248,31219,24.0
31248,31258,384.0
31248,31277,42.0
31248,31247,159.0
31248,31229,2.0
31248,31232,47.0
31248,31101,3.0
31248,31128,7.0
31248,31295,4.0
31248,31613,19.0
31248,31215,22.0
31248,31272,76.0
31258,31241,13.0
31258,31603,7.0
31258,31214,1.0
31258,31215,50.0
31258,31609,20.0
31258,31230,50.0
31258,31129,129.0
31258,31227,10.0
31258,31628,5.0
31258,31281,2.0
31258,31277,91.0
31258,31257,47.0
31258,31232,17.0
31258,31007,5.0
31258,31108,12.0
31258,31101,2.0
31258,31128,13.0
31258,31266,14.0
31258,31200,11.0
31258,31265,4.0
31258,31271,71.0
31258,31290,240.0
31258,31002,3.0
31258,31600,4.0
31258,31623,22.0
31258,31289,134.0
31258,31229,5.0
31258,31233,27.0
31258,31212,7.0
31258,31203,12.0
31258,31272,44.0
31258,31646,57.0
31258,31201,4.0
31258,31064,11.0
31258,31613,10.0
31258,31295,3.0
31258,31228,16.0
31258,31627,3.0
31258,31247,293.0
31258,31288,212.0
31258,31321,166.0
31258,31219,42.0
31258,31243,58.0
31258,31249,349.0
31258,31248,268.0
31258,31014,14.0
31258,31246,9.0
31258,31314,39.0
31258,31615,8.0
31258,31110,1.0
31228,31272,6.0
31228,31227,25.0
31228,31314,2.0
31228,31290,10.0
31228,31246,6.0
31228,31289,21.0
31228,31623,17.0
31228,31232,16.0
31228,31128,16.0
31228,31230,37.0
31228,31613,9.0
31228,31243,13.0
31228,31288,44.0
31228,31233,20.0
31228,31215,4.0
31228,31281,35.0
31228,31295,8.0
31228,31200,12.0
31228,31229,21.0
31228,31110,2.0
31228,31129,17.0
31228,31603,55.0
31228,31203,30.0
31228,31007,3.0
31228,31609,18.0
31228,31101,16.0
31228,31265,32.0
31228,31248,32.0
31228,31266,22.0
31228,31321,22.0
31228,31014,2.0
31228,31628,12.0
31228,31627,18.0
31228,31219,26.0
31228,31108,10.0
31228,31646,14.0
31228,31258,27.0
31228,31615,7.0
31228,31271,21.0
31228,31201,34.0
31228,31212,10.0
31228,31600,46.0
31228,31247,24.0
31228,31241,34.0
31228,31249,4.0
31228,31214,15.0
31228,31277,7.0
31228,31257,12.0
31230,31603,33.0
31230,31232,36.0
31230,31243,4.0
31230,31265,69.0
31230,31201,28.0
31230,31247,12.0
31230,31295,4.0
31230,31227,7.0
31230,31228,43.0
31230,31623,18.0
31230,31271,16.0
31230,31214,10.0
31230,31290,26.0
31230,31258,17.0
31230,31108,36.0
31230,31613,2.0
31230,31289,27.0
31230,31266,42.0
31230,31646,12.0
31230,31277,14.0
31230,31064,1.0
31230,31129,6.0
31230,31628,11.0
31230,31257,6.0
31230,31609,11.0
31230,31200,9.0
31230,31615,13.0
31230,31203,18.0
31230,31101,38.0
31230,31110,12.0
31230,31281,51.0
31230,31288,20.0
31230,31600,60.0
31230,31627,8.0
31230,31002,1.0
31230,31246,3.0
31230,31248,16.0
31230,31128,14.0
31230,31212,3.0
31230,31272,7.0
31230,31314,3.0
31230,31241,16.0
31230,31229,9.0
31230,31249,16.0
31230,31219,7.0
31230,31233,10.0
31230,31321,23.0
31200,31212,41.0
31200,31227,10.0
31200,31230,5.0
31200,31265,19.0
31200,31271,3.0
31200,31272,4.0
31200,31108,2.0
31200,31603,6.0
31200,31101,60.0
31200,31241,26.0
31200,31266,30.0
31200,31064,2.0
31200,31295,22.0
31200,31203,35.0
31200,31110,44.0
31200,31628,3.0
31200,31229,147.0
31200,31233,15.0
31200,31246,73.0
31200,31257,16.0
31200,31646,7.0
31200,31600,36.0
31200,31314,40.0
31200,31129,14.0
31200,31289,23.0
