source,target,weight
31002,31108,1.0
31002,31007,4.0
31002,31064,4.0
31290,31272,12.0
31290,31249,42.0
31290,31609,3.0
31290,31248,25.0
31290,31129,10.0
31290,31321,7.0
31290,31314,2.0
31290,31227,2.0
31290,31281,1.0
31290,31230,9.0
31290,31232,5.0
31290,31108,2.0
31290,31277,21.0
31290,31623,4.0
31290,31288,16.0
31290,31233,1.0
31290,31002,2.0
31290,31613,1.0
31290,31646,5.0
31290,31258,100.0
31290,31128,1.0
31290,31603,1.0
31290,31247,30.0
31290,31289,39.0
31290,31219,11.0
31290,31271,9.0
31290,31243,5.0
31110,31266,8.0
31110,31129,3.0
31110,31200,31.0
31110,31295,6.0
31110,31246,8.0
31110,31014,2.0
31110,31271,2.0
31110,31314,1.0
31110,31600,11.0
31110,31212,36.0
31110,31277,2.0
31110,31228,3.0
31110,31214,72.0
31110,31230,1.0
31110,31227,3.0
31110,31241,36.0
31110,31258,1.0
31110,31215,4.0
31110,31233,11.0
31110,31627,1.0
31110,31281,6.0
31110,31232,4.0
31110,31128,21.0
31110,31229,78.0
31110,31108,1.0
31110,31203,14.0
31110,31613,1.0
31110,31265,5.0
31110,31257,23.0
31110,31201,30.0
31110,31623,2.0
31110,31101,37.0
31110,31603,3.0
31110,31609,1.0
31646,31228,1.0
31646,31243,1.0
31646,31227,2.0
31646,31241,1.0
31646,31613,5.0
31646,31232,5.0
31646,31246,1.0
31646,31290,4.0
31646,31214,1.0
31646,31249,7.0
31646,31219,1.0
31646,31288,2.0
31646,31321,3.0
31646,31203,1.0
31646,31200,2.0
31646,31265,1.0
31646,31108,44.0
31646,31129,1.0
31646,31266,1.0
31646,31623,20.0
31646,31007,1.0
31646,31248,9.0
31646,31600,1.0
31646,31201,2.0
31646,31110,1.0
31646,31627,1.0
31646,31628,13.0
31646,31230,2.0
31646,31314,10.0
31646,31215,4.0
31646,31002,5.0
31646,31277,2.0
31646,31272,1.0
31646,31295,1.0
31646,31609,6.0
31646,31615,2.0
31646,31257,1.0
31646,31212,4.0
31108,31243,55.0
31108,31615,3.0
31108,31272,7.0
31108,31295,2.0
31108,31248,6.0
31108,31219,23.0
31108,31628,78.0
31108,31265,4.0
31108,31201,2.0
31108,31232,5.0
31108,31600,2.0
31108,31627,5.0
31108,31288,12.0
31108,31646,65.0
31108,31230,6.0
31108,31228,4.0
31108,31603,3.0
31108,31229,2.0
31108,31321,1.0
31108,31227,2.0
31108,31289,5.0
31108,31247,1.0
31108,31249,5.0
31108,31215,3.0
31108,31233,1.0
31108,31129,8.0
31108,31271,23.0
31108,31613,5.0
31108,31014,1.0
31108,31277,21.0
31108,31623,11.0
31108,31609,51.0
31272,31600,2.0
31272,31203,1.0
31272,31321,6.0
31272,31646,2.0
31272,31249,8.0
31272,31227,3.0
31272,31219,2.0
31272,31201,1.0
31272,31288,1.0
31272,31233,1.0
31272,31623,80.0
31272,31615,7.0
31272,31243,1.0
31272,31290,10.0
31272,31289,3.0
31272,31628,58.0
31272,31129,3.0
31272,31101,3.0
31272,31271,5.0
31272,31247,13.0
31272,31108,3.0
31272,31230,1.0
31272,31613,6.0
31272,31229,3.0
31272,31281,4.0
31272,31232,11.0
31272,31258,5.0
31272,31248,7.0
31272,31214,1.0
31272,31603,19.0
31272,31627,5.0
31272,31265,8.0
31014,31215,5.0
31014,31628,1.0
31014,31212,1.0
31014,31101,3.0
31014,31201,1.0
31014,31266,4.0
31014,31128,2.0
31014,31257,3.0
