station,lon,lat,name
31266,-77.027137,38.905607,11th & M St NW
31304,-77.070334,38.922581,36th & Calvert St NW / Glover Park
31238,-77.032278,38.898409,14th & G St NW
31052,-77.050537,38.844015,Potomac Ave & 35th St S
31240,-77.04657,38.88412,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
31262,-77.026975,38.897857,11th & F St NW
31260,-77.049882,38.896104,"23rd & E St NW "
31014,-77.070993,38.897315,Lynn St & 19th St North
31015,-77.072305,38.8946,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
31016,-77.076389,38.893438,Clarendon Blvd & Pierce St
31017,-77.0846,38.891696,Wilson Blvd & N Uhle St
31018,-77.079375,38.892164,Rhodes St & 16th St N
31706,-76.952103,38.86559,Fairfax Village
31261,-77.046567,38.892459,21st St & Constitution Ave NW
31019,-77.0925,38.889,Wilson Blvd & N Edgewood St
31113,-77.04368,38.920669,Columbia Rd & Belmont St NW
31239,-77.03980207443237,38.905995699991145,Rhode Island & Connecticut Ave NW
31241,-77.0325,38.9059,Thomas Circle
31020,-77.0889,38.8904,Wilson Blvd & N Franklin Rd
31021,-77.09308,38.8881,Clarendon Blvd & N Fillmore St
31022,-77.094875,38.88786,Clarendon Metro / Wilson Blvd & N Highland St
31242,-77.041539,38.89968,18th St & Pennsylvania Ave NW
31243,-77.01770067214966,38.88637194054526,4th & C St SW
31244,-77.017445,38.88412,4th & E St SW
31625,-77.001828,38.881185,3rd & G St SE
31245,-77.022155,38.912719,7th & R St NW / Shaw Library
31404,-77.0251,38.9418,9th & Upshur St NW
31506,-77.012289,38.915417,1st & Rhode Island Ave NW
31115,-77.0237946510315,38.92812111132096,Columbia Rd & Georgia Ave NW
31116,-77.04062,38.917761,California St & Florida Ave NW
31707,-76.93723,38.889935,Benning Rd & East Capitol St NE / Benning Rd Metro
31307,-77.055599,38.930282,3000 Connecticut Ave NW / National Zoo
31708,-76.96012,38.896544,"Anacostia Ave & Benning Rd NE / River Terrace "
31246,-77.056887,38.905126,M St & Pennsylvania Ave NW
31626,-76.983569,38.88732,15th St & Massachusetts Ave SE
31806,-76.987823,38.844711,Congress Heights Metro
31035,-77.107735,38.876393,N Quincy St & Glebe Rd
31033,-77.1009886264801,38.85033657788445,Barcroft Community Center
31029,-77.086502,38.896923,N Veitch St & 20th St N
31263,-77.02622,38.9024,10th & K St NW
31023,-77.097745,38.885801,Fairfax Dr & Wilson Blvd
31027,-77.078408,38.896355,Key Blvd & N Quinn St
31628,-77.00572729110718,38.878854378063295,1st & K St SE
31306,-77.077271,38.922649,39th & Calvert St NW / Stoddert
31507,-77.012457,38.928743,1st & Washington Hospital Center NW
31024,-77.103148,38.882788,Virginia Square Metro / Monroe St & 9th St N
31025,-77.10783,38.88397,Central Library / Quincy St & 10th St N
31026,-77.093485,38.884734,Washington Blvd & 10th St N
31247,-77.032429,38.888553,Jefferson Dr & 14th St SW
31248,-77.02858,38.888767,Smithsonian-National Mall / Jefferson Dr & 12th St SW
31036,-77.1207,38.87887,George Mason Dr & Wilson Blvd
31264,-77.01994,38.894573,6th St & Indiana Ave NW
